"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
56,67,54173,24445,14652,6829,3696,6359,3518,1929
54,78,1725,2390,3787,3698,2490,3325,2406,1879
57,80,508,1034,2243,1273,2361,3161,4692,2790
64,75,2012,4109,2234,3785,550,8269,2361,2299
70,81,733,3222,5125,3492,1696,3614,1729,3786
67,74,50252,10034,6240,632,1875,3831,1306,2589
54,64,53191,15992,3028,2278,3737,2624,1460,1422
41,57,62899,15192,2866,3206,1100,4574,2758,2021
50,43,3258,3161,2447,504,3732,4808,3043,1473
54,56,1345,1566,8314,3423,1897,4912,1743,1898
57,61,4115,11643,5800,1731,5094,3608,2183,1689
67,69,3818,1569,3816,3342,3740,5926,2426,3227
53,57,49430,53502,2327,4061,5650,8703,3138,2385
51,43,1994,7491,1361,3114,2716,3453,2129,7411
60,41,6293,9021,5640,711,4514,8866,4574,1180
63,35,622,2937,850,3516,2837,6809,3645,5025
67,44,1221,5650,743,1690,2535,2407,1427,4121
77,50,2756,1710,2638,1264,2356,3874,1904,3654
70,54,11449,9803,5170,2911,1696,5838,1995,3396
61,67,61485,4917,12101,1280,3162,3995,3410,2358
63,81,950,1762,3528,1415,1095,3065,3631,2180
56,93,1953,2687,13812,315,2291,5408,3519,3436
56,91,4505,4910,3175,979,2720,3224,1564,3109
70,69,1017,4225,2148,745,3203,9716,3654,2229
77,63,1600,1706,3852,1498,3700,5182,1590,4864
61,40,77572,10374,799,881,1099,605,530,1207
61,43,2216,4490,5739,919,4348,3830,1612,3498
51,53,5090,6744,3621,2142,2741,4805,2578,4044
41,51,2762,5789,1628,3272,1521,3057,4563,6016
53,67,1179,4051,1899,2639,1393,1608,2372,4815
53,70,1394,3841,4964,2363,1483,4090,5551,5935
44,77,1651,5918,3623,2127,2495,1727,2802,3363
53,75,39187,8114,7398,1365,2112,11818,2694,5735
67,66,556,797,841,811,1467,3240,3383,1878
74,43,577,8359,503,1449,5942,6335,4160,2516
78,27,92339,13314,1597,1639,4999,5380,2931,4060
75,29,2641,4411,3195,4243,5362,4337,2403,2961
61,41,1966,2763,3459,3949,2975,2501,2742,2310
56,63,2841,3325,5128,573,1958,3012,3359,4626
43,69,171349,33341,3601,5873,920,2971,3720,2652
47,64,2041,5058,2513,2545,4443,4757,3367,2366
51,61,4671,1001,1634,891,1028,1896,3642,3520
54,61,6200,4141,6930,3357,4627,7296,1627,3155
64,70,1482,5351,5762,2138,3724,2994,4325,1841
64,57,19809,16618,808,2043,4408,8261,2266,4093
75,53,1100,925,2752,1110,1202,8437,3284,2647
74,61,1150,708,4035,2967,1295,3308,2685,2058
84,41,527,7437,1828,482,4624,8312,3262,2602
90,57,1595,1332,1775,1536,1817,4158,4292,3161
93,8,723974,47967,2511,1462,10179,25017,5825,10625
84,27,128328,1220,1546,1053,741,1178,979,635
75,34,2033,6488,2401,5840,3300,4447,1870,4015
67,48,2306,2380,1733,1776,1304,4742,2367,3615
64,66,3694,3065,4204,2307,18468,3476,3547,2521
77,56,4233,1566,2312,2306,3296,7760,2380,2332
74,51,898771,32323,9309,14482,12361,10900,7859,10054
60,54,462905,26603,5305,11426,5207,7641,1175,2895
57,69,6100,1331,4904,5700,4343,3558,2828,2250
51,66,4841,3419,290,2749,3109,3624,4830,2935
60,66,4894,5367,3846,1476,3376,5095,2522,619
61,66,2560,5489,1837,3019,3350,2114,2007,3905
66,54,2833,4360,3467,1665,3422,5760,1014,2566
61,66,5087,3195,4776,4205,4621,3414,1728,1441
56,56,2041,7221,693,2246,8321,2635,1811,2409
57,56,1498,4950,1424,3761,5205,2334,1609,1198
53,54,2536,3388,596,2174,2131,2200,2964,4195
56,48,1674,5402,3405,1839,2149,4655,3848,4158
70,53,1213,1777,1917,669,2721,6177,2004,1291
67,57,2436,6237,4280,4358,3577,2597,1965,1388
66,63,1123,3243,2746,2157,2754,2535,1911,726
69,56,8844,3746,2570,330,4100,3843,3294,2838
61,44,1630,3133,311,800,8361,2719,2779,3585
67,44,642,3258,6094,1130,2605,4062,2895,4803
74,43,522497,14130,7893,8588,12816,15144,3673,6512
61,56,3135,3122,4001,2106,2050,1659,2092,1641
61,75,3082,2243,1620,3227,4846,3944,2341,1627
66,66,1966,2932,1311,2352,3007,4566,1021,2091
64,74,5694,2902,6839,4112,4957,6054,2329,1494
48,60,71401,49494,10511,1961,481,627,594,631
50,57,34769,5253,2349,2193,406,4688,775,969
41,63,203390,2919,2019,1553,2063,1367,1165,1048
47,60,10117,7862,5211,7100,6177,10302,1778,3202
78,60,1542,2095,1643,2885,10207,4783,2211,2400
81,57,3156,1822,587,3226,4236,3936,1709,1710
75,44,120837,56178,7885,3054,3607,7148,1153,1769
70,40,27632,4654,2539,909,3296,2570,1937,1160
61,37,132882,29721,975,7856,5069,7626,4688,3417
50,41,14183,9211,1728,7785,4404,2970,1902,3576
56,53,19643,15408,8746,1511,3898,5033,3551,3317
60,44,1803,6987,1242,1799,4895,5464,5028,3683
61,61,4192,1559,3130,4999,4761,2239,3729,5301
69,37,70601,10404,802,423,7167,6312,4340,3476
81,34,4957,2638,2655,1590,3510,6421,3388,2004
74,56,3828,2403,6756,5591,3832,2785,3679,1927
91,34,4268,2160,1094,735,3351,13346,3189,1677
91,48,1172,5162,1495,1384,2903,4487,2178,5661
83,53,3252,6046,6097,2169,4204,5573,1534,4061
81,21,69468,27130,1346,1538,2063,3964,7266,1541
75,24,6126,6802,2754,890,7059,15217,3865,5110
80,24,6348,3721,3094,962,4358,9796,4221,2075
75,14,111239,5478,1317,304,360,1347,1828,1171
70,14,34157,7638,470,385,1357,677,906,1186
64,34,30169,3283,6198,2516,3418,6316,4631,1709
69,37,1579,747,302,2814,1258,9777,4120,2133
70,44,4809,3981,3786,558,3574,2479,4594,5026
81,56,1790,3867,540,1794,2952,1827,3244,2019
67,47,30162,10318,841,2238,646,1274,935,748
57,57,1451,1924,2997,1701,1111,3364,1739,1628
67,51,1767,3471,2525,1707,4116,8209,1489,2142
69,63,816,5624,9392,836,2232,5842,2260,2891
78,75,1179,1837,1441,4556,2880,2427,2789,1842
69,67,43357,15610,5716,3825,4998,5128,1559,1951
75,66,5965,689,1382,1625,4269,7053,1569,2397
70,56,129214,22816,6571,4465,6751,8559,1929,4402
75,51,8658,5179,4126,5272,3678,6835,2932,5546
84,53,2680,2714,1851,3237,2333,6604,2762,2417
81,57,1857,1080,2608,1153,1531,6573,4321,1718
87,56,59891,5653,1458,2533,6920,4653,1814,2250
69,38,1809822,1717979,130229,68190,42538,75597,18141,22726
69,38,529033,21090,2108,2935,1143,831,1875,1408
43,23,381850,136027,9854,7769,16854,2901,9067,4670
23,30,462318,62874,41849,23537,2141,8200,1560,5324
11,37,719001,76708,13217,17809,4822,11720,5431,3613
20,56,180486,21604,18877,2806,4002,5394,3145,2002
40,61,366189,43058,9166,5206,23975,20434,8598,7149
54,51,5023,4490,4168,913,4414,5373,1545,5489
70,47,2503,3086,399,2360,2072,6302,6954,2236
83,37,3862,2612,2266,1387,6522,4208,2233,3603
88,48,2926,2478,1341,3601,3268,5227,2998,3235
90,26,2406,6241,254,416,2387,4537,6289,2493
74,48,5639,6006,6723,7615,2025,2041,1775,3440
70,48,87480,13371,3081,3665,3802,9012,4651,2661
69,50,3780,3373,3346,3066,1590,5547,3488,1234
67,66,3056,4318,622,1888,1896,4047,4508,4169
80,50,8101,8325,1479,5135,1929,7901,1927,4519
87,40,51472,2744,780,626,3340,5325,3403,2645
84,43,7129,8094,8017,5001,1709,8094,3706,1025
87,44,157620,6610,4233,1906,2453,9564,2656,2230
80,60,69306,8454,15781,7127,2205,7307,3818,1392
78,66,769,3195,1574,1925,6373,5993,3308,2748
75,66,2319,4365,7974,3155,4765,4945,3203,2053
80,60,1302,2040,2321,831,8976,7997,3333,1375
81,48,7173,4245,2853,1046,2600,2524,1952,1889
74,51,3229,9546,1998,3070,1960,4055,2386,3300
81,50,1649,1339,4351,3155,3433,6875,4431,3377
64,53,442809,63635,6805,12036,13013,13385,12745,5230
53,61,238930,90491,64172,22708,2381,8315,4090,4161
57,57,16734,2537,385,3011,9820,3211,3701,3876
54,48,2500,6824,2042,3498,6777,5984,2562,3325
67,56,2326,1531,3792,854,643,7834,3587,2927
81,60,6501,4628,10883,4913,4231,5893,1807,4990
81,66,1029,3497,2478,2255,3126,5163,1362,4305
80,69,83744,6661,1138,4358,3985,4201,5298,1622
75,63,845,3691,492,2569,2009,4592,2064,3750
81,54,2638,3409,3367,1346,1536,5556,2442,2422
70,53,191798,38913,11274,7906,2939,7919,3400,6253
60,57,662860,227536,62063,117122,25811,33665,22097,30552
51,70,363898,2816,3385,2320,2617,1649,1395,1498
50,69,2285,3225,2297,2059,3900,3971,5709,3065
61,64,1592,7417,3009,1436,5078,7355,1784,3748
78,64,2212,977,2907,979,848,5162,11098,1833
84,44,229883,19154,2738,1858,3930,9011,2255,5582
83,37,842463,78523,21075,7170,11492,55891,11410,15401
70,44,42506,32895,19561,5433,4559,7705,10884,10013
64,37,442860,40722,13032,5230,4743,23788,29647,27904
50,35,109438,108876,11047,3277,3005,6599,4505,4526
40,37,934738,16868,1120,4045,2865,2211,2410,2061
