"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
14,48,2209651,78269,30362,52319,14765,18418,4865,9668
27,67,1485448,36669,8617,21381,9901,13968,11667,7534
48,75,1775,6949,3670,1108,3001,3138,8855,1697
60,80,13772,3116,2140,4228,2715,3707,3549,3267
67,75,2865,4991,2588,1985,3235,2361,2561,1102
69,69,65192,16293,4240,2893,2120,5117,1274,3178
56,74,2006651,80089,31012,28534,14082,11125,16808,11074
41,64,187418,38939,11020,2130,8737,4083,14401,6350
44,54,2041877,46146,8306,6360,33708,20749,23785,5131
37,56,404825,68772,22527,8493,16708,9878,7289,7285
38,43,300117,63142,4581,6906,1159,6809,5886,11475
50,44,84784,21662,9192,1409,10324,8084,7311,6121
35,53,97181,16660,3982,3073,959,1946,5407,861
41,54,749765,84235,61678,9642,59391,27814,43602,21585
48,67,115295,9158,2651,9022,2916,3428,2572,1461
44,69,131274,6663,780,2375,1043,1907,937,1118
35,57,164904,47129,1797,2854,1995,1656,2944,1361
40,53,64206,20810,4757,8373,17283,9645,5727,6857
40,51,668533,30977,20383,8393,9288,10750,7885,4603
20,30,199657,204520,5367,3379,3644,5146,15306,6240
24,56,600015,20329,24144,12836,5998,3220,2941,3386
1,63,557213,291070,150375,37864,54520,8626,18238,10624
1,54,805354,121335,12081,21796,9345,16133,7995,1812
11,70,1057102,169517,9523,33765,14056,26368,10771,15551
26,53,42350,17120,1929,3872,4412,5273,3520,1669
56,50,5750,3938,2508,938,3647,2615,1661,3647
47,40,208555,240756,14295,11570,13096,12977,13972,6867
53,40,157906,69600,20356,514,8108,19370,20210,13041
48,40,2218091,64785,7217,22670,65508,13747,40227,42321
41,27,77091,9979,765,400,417,1881,1937,741
67,47,934,2973,5568,1848,4340,6597,2406,2702
66,50,478263,326611,110420,37552,36604,85147,54405,28582
67,57,1920324,26937,11332,9693,5800,9086,8657,6845
74,63,1024322,91672,15664,9531,11280,36261,14122,9394
54,57,53362,42371,3240,18994,15789,5643,3750,7672
40,40,572161,252528,9726,5055,9497,13270,22442,10739
43,38,987402,26960,10296,6182,6467,10986,15350,7328
30,48,719414,158720,24874,33094,4811,15923,5799,8200
35,57,376134,137701,13678,6850,4931,8714,4657,14708
24,50,49647,21490,2571,2086,1368,2291,4713,1259
20,57,49829,7076,6963,2603,1401,1321,3496,3937
21,47,32777,136710,7366,9708,16334,13751,9479,7445
29,43,387414,77042,3284,6046,9951,10885,7618,4413
34,53,196656,78452,54326,6743,22933,20347,3919,9414
34,38,77815,25095,1325,5759,2993,2321,5304,1518
27,53,1281135,116627,30393,30791,5371,8359,9679,14426
20,63,259106,50733,14718,3111,3043,3777,2233,2533
21,64,1162618,113989,28414,44371,4903,27130,32816,8048
41,70,45442,6455,6508,8946,2563,7491,2426,1727
47,80,1501144,121971,75358,88022,68479,26329,28727,86352
47,67,685625,192442,11800,8702,20658,16558,14837,10565
50,56,85376,11596,860,1634,1349,2630,4280,1090
30,37,1129549,573729,39713,29343,23515,37699,61556,15414
26,34,31199,32058,13559,4833,2414,2343,2727,3123
21,51,839696,208449,127162,13599,12648,18676,8004,15981
